subj item timing focus dist resp
A1 27 8sec unf close 100
A1 48 8sec unf dist 100
A1 35 8sec unf close 100
A1 47 8sec unf close 100
A1 44 8sec unf dist 100
A1 40 8sec unf dist 100
A1 39 8sec unf close 100
A1 43 8sec unf close 100
A1 28 8sec unf dist 100
A1 51 8sec unf close 100
A1 32 8sec unf dist 100
A1 41 8sec foc close 100
A1 31 8sec unf close 100
A1 29 8sec foc close 100
A1 34 8sec foc dist 100
A1 52 8sec unf dist 100
A1 45 8sec foc close 100
A1 26 8sec foc dist 100
A1 37 8sec foc close 100
A1 38 8sec foc dist 100
A1 50 8sec foc dist 100
A1 33 8sec foc close 100
A1 49 8sec foc close 100
A1 46 8sec foc dist 100
A1 30 8sec foc dist 100
A1 36 8sec unf dist 100
A1 25 8sec foc close 100
A1 42 8sec foc dist 100
A2 26 8sec foc dist 100
A2 47 8sec unf close 100
A2 52 8sec unf dist 100
A2 51 8sec unf close 100
A2 34 8sec foc dist 100
A2 28 8sec unf dist 100
A2 44 8sec unf dist 100
A2 33 8sec foc close 100
A2 37 8sec foc close 100
A2 38 8sec foc dist 100
A2 29 8sec foc close 100
A2 48 8sec unf dist 100
A2 46 8sec foc dist 100
A2 42 8sec foc dist 100
A2 41 8sec foc close 0
A2 32 8sec unf dist 100
A2 30 8sec foc dist 100
A2 40 8sec unf dist 100
A2 27 8sec unf close 100
A2 45 8sec foc close 100
A2 36 8sec unf dist 100
A2 43 8sec unf close 100
A2 31 8sec unf close 100
A2 25 8sec foc close 100
A2 35 8sec unf close 100
A2 39 8sec unf close 100
A2 50 8sec foc dist 100
A2 49 8sec foc close 100
A3 46 8sec foc dist 100
A3 42 8sec foc dist 100
A3 45 8sec foc close 100
A3 52 8sec unf dist 0
A3 48 8sec unf dist 100
A3 25 8sec foc close 100
A3 32 8sec unf dist 100
A3 30 8sec foc dist 100
A3 28 8sec unf dist 100
A3 51 8sec unf close 100
A3 26 8sec foc dist 100
A3 47 8sec unf close 100
A3 35 8sec unf close 100
A3 44 8sec unf dist 100
A3 38 8sec foc dist 100
A3 43 8sec unf close 100
A3 36 8sec unf dist 100
A3 41 8sec foc close 100
A3 49 8sec foc close 100
A3 40 8sec unf dist 100
A3 29 8sec foc close 100
A3 50 8sec foc dist 100
A3 27 8sec unf close 100
A3 39 8sec unf close 100
A3 37 8sec foc close 100
A3 33 8sec foc close 100
A3 31 8sec unf close 100
A3 34 8sec foc dist 100
A4 25 8sec foc close 100
A4 37 8sec foc close 100
A4 28 8sec unf dist 100
A4 34 8sec foc dist 100
A4 31 8sec unf close 100
A4 50 8sec foc dist 100
A4 29 8sec foc close 100
A4 49 8sec foc close 100
A4 44 8sec unf dist 100
A4 48 8sec unf dist 0
A4 47 8sec unf close 100
A4 33 8sec foc close 100
A4 27 8sec unf close 100
A4 41 8sec foc close 0
A4 38 8sec foc dist 100
A4 32 8sec unf dist 100
A4 46 8sec foc dist 100
A4 40 8sec unf dist 100
A4 36 8sec unf dist 100
A4 52 8sec unf dist 100
A4 51 8sec unf close 100
A4 35 8sec unf close 100
A4 42 8sec foc dist 100
A4 45 8sec foc close 100
A4 39 8sec unf close 100
A4 30 8sec foc dist 100
A4 43 8sec unf close 100
A4 26 8sec foc dist 100
A5 46 8sec foc dist 100
A5 37 8sec foc close 100
A5 51 8sec unf close 100
A5 44 8sec unf dist 100
A5 34 8sec foc dist 100
A5 43 8sec unf close 0
A5 45 8sec foc close 100
A5 28 8sec unf dist 0
A5 39 8sec unf close 100
A5 27 8sec unf close 100
A5 47 8sec unf close 100
A5 50 8sec foc dist 100
A5 31 8sec unf close 100
A5 36 8sec unf dist 100
A5 26 8sec foc dist 100
A5 35 8sec unf close 100
A5 52 8sec unf dist 100
A5 32 8sec unf dist 100
A5 49 8sec foc close 100
A5 38 8sec foc dist 100
A5 30 8sec foc dist 0
A5 40 8sec unf dist 0
A5 33 8sec foc close 100
A5 48 8sec unf dist 100
A5 42 8sec foc dist 100
A5 25 8sec foc close 100
A5 29 8sec foc close 100
A5 41 8sec foc close 0
A6 39 8sec unf dist 100
A6 25 8sec foc dist 100
A6 30 8sec unf close 100
A6 42 8sec unf close 100
A6 52 8sec foc close 100
A6 50 8sec unf close 100
A6 51 8sec unf dist 100
A6 26 8sec unf close 0
A6 48 8sec foc close 100
A6 28 8sec foc close 0
A6 49 8sec foc dist 100
A6 37 8sec foc dist 100
A6 43 8sec unf dist 100
A6 41 8sec foc dist 100
A6 32 8sec foc close 0
A6 38 8sec unf close 100
A6 46 8sec unf close 0
A6 44 8sec foc close 100
A6 31 8sec unf dist 100
A6 40 8sec foc close 100
A6 27 8sec unf dist 100
A6 34 8sec unf close 0
A6 35 8sec unf dist 100
A6 33 8sec foc dist 100
A6 45 8sec foc dist 100
A6 47 8sec unf dist 100
A6 36 8sec foc close 100
A6 29 8sec foc dist 100
A7 51 8sec unf dist 100
A7 49 8sec foc dist 100
A7 27 8sec unf dist 100
A7 32 8sec foc close 100
A7 34 8sec unf close 100
A7 48 8sec foc close 100
A7 46 8sec unf close 0
A7 30 8sec unf close 100
A7 36 8sec foc close 100
A7 44 8sec foc close 100
A7 33 8sec foc dist 100
A7 40 8sec foc close 100
A7 41 8sec foc dist 100
A7 50 8sec unf close 100
A7 29 8sec foc dist 100
A7 28 8sec foc close 100
A7 39 8sec unf dist 100
